title,time,username,q1,q2,q3,q4,q5,q6,q7,q8,q9
Panorama Forbidden City,~2021-02-04 12:20,unknown,Yes,40 or more,details are accurate,"On the way to and from get off work or going out, between work/study, at leisure, while studying and working, while dining, when socializing with like-minded people, before going to bed at night/waking up early in the morning","Culture and blog enthusiasts, history lovers, collectors, fans of national trends, Internet technology enthusiasts, practitioners in the cultural and blog industry, literary youth, traditional culture lovers, international friends who love Chinese culture, travel enthusiasts, others",A. Fully satisfied,B. Partially closed areas,B. Garden area,
Panorama Forbidden City,~2021-02-04 12:32,unknown,Yes,21-40 pieces,details are accurate,"Work/study gaps, leisure time",history buff,A. Fully satisfied,A. Unpopular open areas,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-04 12:40,unknown,Yes,40 or more,Update frequency,"On the way to and from get off work or going out, between work/study, during leisure",student,A. Fully satisfied,B. Partially closed areas,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-04 12:40,unknown,Yes,10-Jan,innovative,"Between work/study, at leisure, during meals","History buff, country fan, student",B. Basic Satisfaction,A. Unpopular open areas,D. Other areas,
Panorama Forbidden City,~2021-02-04 12:50,unknown,uncertain,10-Jan,details are accurate,while dining,student,D. Too little visible area,B. Partially closed areas,D. Other areas,
Panorama Forbidden City,~2021-02-04 12:54,unknown,uncertain,21-40 pieces,deep interaction,"Work/study gaps, leisure time",student,C. Insufficient coverage area,C. More indoor scenes,"A. ""Front facing"" area",More relevant history can be introduced accordingly
Panorama Forbidden City,~2021-02-04 13:16,unknown,Yes,40 or more,Shooting range,studying and working,"history buff, student",B. Basic Satisfaction,B. Partially closed areas,D. Other areas,interior structure of certain palaces
Panorama Forbidden City,~2021-02-04 13:29,unknown,Yes,21-40 pieces,deep interaction,studying and working,"Cultural and bloggers, history buffs, collectors",C. Insufficient coverage area,B. Partially closed areas,"C. ""After bed"" area",global map
Panorama Forbidden City,~2021-02-04 13:29,unknown,Yes,40 or more,Rich content,studying and working,"Cultural and museum lovers, history lovers, students, literary youth, traditional culture lovers, tourism lovers",A. Fully satisfied,C. More indoor scenes,D. Other areas,
Panorama Forbidden City,~2021-02-04 13:41,unknown,Yes,20-Nov,Shooting range,"Work/study gaps, leisure time","Bloggers, history buffs",C. Insufficient coverage area,C. More indoor scenes,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-04 13:43,unknown,Yes,21-40 pieces,Rich content,"Work/study gaps, leisure time","National tide fans, students",C. Insufficient coverage area,C. More indoor scenes,B. Garden area,
Panorama Forbidden City,~2021-02-04 14:13,unknown,Yes,10-Jan,beautiful form,studying and working,"History lovers, collectors, students, traditional culture lovers",C. Insufficient coverage area,C. More indoor scenes,B. Garden area,
Panorama Forbidden City,~2021-02-04 14:35,unknown,uncertain,21-40 pieces,Rich content,"Between work/study, at leisure, before going to bed at night/wake up in the morning","Cultural and blog enthusiasts, traditional culture lovers, international friends who love Chinese culture",A. Fully satisfied,C. More indoor scenes,B. Garden area,character setting
Panorama Forbidden City,~2021-02-04 15:03,unknown,no,10-Jan,details are accurate,"Work/study gaps, leisure time","Internet technology enthusiasts, travel enthusiasts",B. Basic Satisfaction,B. Partially closed areas,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-04 16:11,unknown,uncertain,10-Jan,Rich content,studying and working,"Cultural and blog enthusiasts, national tide fans, students, literary youth, traditional culture lovers",D. Too little visible area,C. More indoor scenes,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-04 16:11,unknown,Yes,21-40 pieces,Rich content,"On the way to and from work, between work/study, at leisure, when socializing with like-minded people","Cultural and blog enthusiasts, collectors, fans of the country, literary youth, traditional culture lovers, travel lovers",A. Fully satisfied,C. More indoor scenes,B. Garden area,
Panorama Forbidden City,~2021-02-04 16:33,unknown,Yes,20-Nov,Shooting range,"Work/study gaps, leisure time","Bloggers, history buffs",B. Basic Satisfaction,C. More indoor scenes,"A. ""Front facing"" area",More places to visit can be added
Panorama Forbidden City,~2021-02-04 17:27,unknown,Yes,40 or more,Rich content,studying and working,"Culture and blog enthusiasts, history lovers, collectors, fans of national trends, Internet technology enthusiasts, practitioners in the cultural and blog industry, literary youth, traditional culture lovers, international friends who love Chinese culture, and travel enthusiasts",A. Fully satisfied,C. More indoor scenes,D. Other areas,
Panorama Forbidden City,~2021-02-04 17:32,unknown,Yes,20-Nov,innovative,"Work/study gaps, leisure time","Cultural and Expo enthusiasts, traditional culture lovers, travel lovers",B. Basic Satisfaction,C. More indoor scenes,D. Other areas,
Panorama Forbidden City,~2021-02-04 17:38,unknown,uncertain,10-Jan,Shooting range,"Studying at work, eating, socializing with like-minded people, late at night before going to bed/early waking up","History lovers, collectors, students, literary youth, travel lovers, others",D. Too little visible area,A. Unpopular open areas,B. Garden area,
Panorama Forbidden City,~2021-02-04 17:48,unknown,Yes,40 or more,beautiful form,"Between work/study, at leisure, during meals","Students, literary youth, traditional culture lovers, travel lovers",B. Basic Satisfaction,A. Unpopular open areas,"A. ""Front facing"" area",Explain in more detail
Panorama Forbidden City,~2021-02-04 17:59,unknown,Yes,10-Jan,details are accurate,"Work/study gaps, leisure time","students, other",B. Basic Satisfaction,A. Unpopular open areas,B. Garden area,
Panorama Forbidden City,~2021-02-04 18:28,unknown,Yes,10-Jan,innovative,"Between work/study, at leisure, during meals","Cultural and blog enthusiasts, history lovers, Internet technology enthusiasts, students, traditional culture lovers",A. Fully satisfied,A. Unpopular open areas,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-04 18:33,unknown,Yes,20-Nov,Rich content,When socializing with like-minded people,Internet technology enthusiast,B. Basic Satisfaction,B. Partially closed areas,"A. ""Front facing"" area","Rich graphics, audio and video, rich interactive forms, rich interactive special effects"
Panorama Forbidden City,~2021-02-04 18:34,unknown,Yes,10-Jan,Rich content,"Work/study gaps, leisure time",student,C. Insufficient coverage area,B. Partially closed areas,"A. ""Front facing"" area","I want to see some non-open areas when I usually go to the Forbidden City, as well as the Forbidden City cats"
Panorama Forbidden City,~2021-02-04 18:39,unknown,Yes,10-Jan,Rich content,"Work/study gaps, leisure time",Travel enthusiast,B. Basic Satisfaction,A. Unpopular open areas,"A. ""Front facing"" area",canteen
Panorama Forbidden City,~2021-02-04 18:47,unknown,Yes,20-Nov,Shooting range,"Between work/study, at leisure, during meals","students, other",B. Basic Satisfaction,B. Partially closed areas,"C. ""After bed"" area",Unopened scenic spots
Panorama Forbidden City,~2021-02-04 18:47,unknown,Yes,21-40 pieces,details are accurate,"Work/study gaps, leisure time",history buff,B. Basic Satisfaction,B. Partially closed areas,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-04 18:54,unknown,Yes,10-Jan,details are accurate,"Work/study gaps, leisure time",student,D. Too little visible area,C. More indoor scenes,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-04 18:59,unknown,Yes,10-Jan,beautiful form,"Work/study gaps, leisure time",Travel enthusiast,C. Insufficient coverage area,C. More indoor scenes,B. Garden area,
Panorama Forbidden City,~2021-02-04 19:06,unknown,uncertain,40 or more,Shooting range,"Work/study gaps, leisure time","students, other",B. Basic Satisfaction,B. Partially closed areas,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-04 19:28,unknown,no,40 or more,Shooting range,"Between work/study, at leisure, while studying at work, when socializing with like-minded people","Cultural and bloggers, history buffs, travel enthusiasts",D. Too little visible area,B. Partially closed areas,D. Other areas,"More open, free and free to move around"
Panorama Forbidden City,~2021-02-04 19:32,unknown,Yes,40 or more,innovative,"Between work/study, at leisure, during meals, before going to bed at night/waking up in the morning","students, other",B. Basic Satisfaction,C. More indoor scenes,D. Other areas,
Panorama Forbidden City,~2021-02-04 19:32,unknown,Yes,21-40 pieces,Shooting range,"On the way to and from get off work or going out, between work/study, at leisure, before going to bed at night/waking up in the morning","Bloggers, history buffs, students",B. Basic Satisfaction,B. Partially closed areas,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-04 19:38,unknown,Yes,20-Nov,Rich content,"Work/study gaps, leisure time","Cultural and museum lovers, history lovers, traditional culture lovers",C. Insufficient coverage area,C. More indoor scenes,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-04 19:44,unknown,Yes,21-40 pieces,details are accurate,"Work/study gaps, leisure time",student,A. Fully satisfied,C. More indoor scenes,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-04 20:00,unknown,uncertain,10-Jan,Rich content,"Work/study gaps, leisure time","Students, traditional culture lovers, travel lovers",C. Insufficient coverage area,B. Partially closed areas,B. Garden area,
Panorama Forbidden City,~2021-02-04 20:02,unknown,uncertain,20-Nov,distinct personality,"Work/study gaps, leisure time","History buffs, students, traditional culture lovers",C. Insufficient coverage area,B. Partially closed areas,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-04 20:07,unknown,Yes,10-Jan,Shooting range,"Work/study gap, leisure time, study and work","History buffs, Internet technology enthusiasts, students",C. Insufficient coverage area,C. More indoor scenes,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-04 20:22,unknown,Yes,10-Jan,Rich content,"Work/study gaps, leisure time","History lovers, international friends who love Chinese culture",B. Basic Satisfaction,A. Unpopular open areas,B. Garden area,
Panorama Forbidden City,~2021-02-04 20:26,unknown,Yes,10-Jan,Update frequency,"On the way to and from get off work or going out, between work/study, during leisure","Culture and blog enthusiasts, history lovers, collectors, fans of the country, students",A. Fully satisfied,A. Unpopular open areas,B. Garden area,
Panorama Forbidden City,~2021-02-04 20:37,unknown,Yes,20-Nov,Rich content,"Work/study gaps, leisure time",Internet technology enthusiast,D. Too little visible area,B. Partially closed areas,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-04 20:39,unknown,Yes,40 or more,deep interaction,"Between work/study, at leisure, while studying at work, when socializing with like-minded people","Cultural and blog enthusiasts, history lovers, collectors, fans of the country, Internet technology enthusiasts, students, literary youth, international friends who love Chinese culture, travel enthusiasts",B. Basic Satisfaction,B. Partially closed areas,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-04 20:40,unknown,Yes,40 or more,deep interaction,"Work/study gaps, leisure time",history buff,A. Fully satisfied,C. More indoor scenes,B. Garden area,
Panorama Forbidden City,~2021-02-04 20:46,unknown,Yes,40 or more,details are accurate,"On the way to and from get off work or going out, between work/study, at leisure, while studying and working, while dining, when socializing with like-minded people, before going to bed at night/waking up early in the morning","Culture and blog enthusiasts, history lovers, collectors, fans of national trends, Internet technology lovers, traditional culture lovers, international friends who love Chinese culture, travel lovers",D. Too little visible area,B. Partially closed areas,B. Garden area,
Panorama Forbidden City,~2021-02-04 20:52,unknown,Yes,40 or more,Update frequency,"Work/study gaps, leisure time","Cultural and museum lovers, history lovers, traditional culture lovers",D. Too little visible area,C. More indoor scenes,"C. ""After bed"" area",Panorama can also be launched in more unopened areas
Panorama Forbidden City,~2021-02-04 21:02,unknown,no,10-Jan,innovative,"Work/study gaps, leisure time","Internet technology enthusiasts, students, literary youth, travel enthusiasts",B. Basic Satisfaction,C. More indoor scenes,B. Garden area,
Panorama Forbidden City,~2021-02-04 21:04,unknown,Yes,10-Jan,beautiful form,studying and working,history buff,A. Fully satisfied,C. More indoor scenes,"A. ""Front facing"" area",without
Panorama Forbidden City,~2021-02-04 21:09,unknown,Yes,10-Jan,Rich content,"Work/study gaps, leisure time","Cultural and bloggers, history buffs, students, others",D. Too little visible area,B. Partially closed areas,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-04 21:53,unknown,Yes,40 or more,details are accurate,"Work/study gaps, leisure time",student,B. Basic Satisfaction,B. Partially closed areas,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-04 22:00,unknown,Yes,10-Jan,innovative,When socializing with like-minded people,student,B. Basic Satisfaction,C. More indoor scenes,B. Garden area,
Panorama Forbidden City,~2021-02-04 22:35,unknown,Yes,21-40 pieces,Rich content,"Work/study gaps, leisure time","bloggers, travel enthusiasts",A. Fully satisfied,B. Partially closed areas,"A. ""Front facing"" area",Unopened mysterious area
Panorama Forbidden City,~2021-02-04 22:41,unknown,Yes,10-Jan,innovative,"Work/study gaps, leisure time",National tide fans,B. Basic Satisfaction,C. More indoor scenes,D. Other areas,
Panorama Forbidden City,~2021-02-04 23:11,unknown,Yes,20-Nov,details are accurate,"Between work/study, at leisure, before going to bed at night/wake up in the morning","National tide fans, students",B. Basic Satisfaction,A. Unpopular open areas,"A. ""Front facing"" area",Jingshan Park
Panorama Forbidden City,~2021-02-04 23:45,unknown,uncertain,10-Jan,Rich content,"Work/study gaps, leisure time","Culture and blog enthusiasts, history lovers, collectors, fans of the country, students, traditional culture lovers, travel lovers",D. Too little visible area,C. More indoor scenes,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-04 23:57,unknown,Yes,40 or more,beautiful form,"Between work/study, at leisure, at work, at work, socializing with like-minded people, before going to bed at night/waking up in the morning","History lovers, collectors, students, traditional culture lovers",A. Fully satisfied,B. Partially closed areas,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-05 02:02,unknown,Yes,10-Jan,Rich content,"Work/study gaps, leisure time","Cultural enthusiasts, history lovers, students, traditional culture lovers",C. Insufficient coverage area,B. Partially closed areas,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-05 04:53,unknown,no,10-Jan,details are accurate,studying and working,other,B. Basic Satisfaction,C. More indoor scenes,D. Other areas,Chicken you are too beautiful
Panorama Forbidden City,~2021-02-05 05:33,unknown,Yes,10-Jan,Rich content,"Work/study gaps, leisure time","Cultural and museum lovers, history lovers, traditional culture lovers",B. Basic Satisfaction,C. More indoor scenes,"A. ""Front facing"" area",The history of each attraction and the cultural background associated with it.
Panorama Forbidden City,~2021-02-05 07:33,unknown,Yes,10-Jan,details are accurate,Before going to bed late at night / waking up early in the morning,"student, youth",B. Basic Satisfaction,C. More indoor scenes,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-05 07:44,unknown,Yes,10-Jan,innovative,commuting or going out,history buff,B. Basic Satisfaction,C. More indoor scenes,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-05 08:53,unknown,Yes,10-Jan,Shooting range,"Work/study gaps, leisure time","Cultural enthusiasts, students, literary youth",B. Basic Satisfaction,C. More indoor scenes,"C. ""After bed"" area",Has anyone lived there and an introduction to what happened
Panorama Forbidden City,~2021-02-05 08:55,unknown,Yes,10-Jan,beautiful form,"Work/study gaps, leisure time","Cultural enthusiasts, students, literary youth",B. Basic Satisfaction,C. More indoor scenes,"C. ""After bed"" area",Has anyone lived there and an introduction to what happened
Panorama Forbidden City,~2021-02-05 09:57,unknown,Yes,10-Jan,Rich content,studying and working,collectors,A. Fully satisfied,C. More indoor scenes,D. Other areas,can speak of ancient heroes
Panorama Forbidden City,~2021-02-05 10:12,unknown,uncertain,10-Jan,Shooting range,"Between work/study, leisure, socializing with like-minded people","Cultural and art lovers, students, literary youth, traditional culture lovers",D. Too little visible area,C. More indoor scenes,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-05 10:32,unknown,Yes,40 or more,Shooting range,"Work/study gaps, leisure time",other,C. Insufficient coverage area,C. More indoor scenes,"C. ""After bed"" area","Add more interior scenes of buildings, such as the interior scenes of the side halls of the Sixth Palace of the East and the West"
Panorama Forbidden City,~2021-02-05 10:39,unknown,uncertain,10-Jan,innovative,"Work/study gaps, leisure time","Culture and blog enthusiasts, history lovers, collectors, fans of the country, students, international friends who love Chinese culture, travel enthusiasts, others",D. Too little visible area,A. Unpopular open areas,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-05 10:56,unknown,Yes,40 or more,beautiful form,"Work/study gaps, leisure time","Cultural and museum lovers, history lovers, traditional culture lovers, international friends who love Chinese culture, travel lovers",B. Basic Satisfaction,C. More indoor scenes,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-05 11:06,unknown,Yes,20-Nov,Rich content,"Work/study gap, leisure time, study and work","students, other",A. Fully satisfied,B. Partially closed areas,B. Garden area,without
Panorama Forbidden City,~2021-02-05 11:15,unknown,Yes,40 or more,details are accurate,"Work/study gaps, leisure time",student,B. Basic Satisfaction,B. Partially closed areas,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-05 11:20,unknown,uncertain,10-Jan,Update frequency,commuting or going out,bloggers,A. Fully satisfied,B. Partially closed areas,B. Garden area,without
Panorama Forbidden City,~2021-02-05 11:56,unknown,Yes,21-40 pieces,innovative,"Between work/study, at leisure, before going to bed at night/wake up in the morning","students, other",B. Basic Satisfaction,B. Partially closed areas,B. Garden area,
Panorama Forbidden City,~2021-02-05 12:18,unknown,uncertain,10-Jan,Update frequency,"Work/study gaps, leisure time","History lovers, national tide fans, traditional culture lovers",B. Basic Satisfaction,A. Unpopular open areas,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-05 12:53,unknown,Yes,40 or more,Rich content,"Work/study gaps, leisure time","Cultural and blogging enthusiasts, history lovers, collectors, fans of national trends, Internet technology enthusiasts, students, practitioners in the cultural and blogging industry, literary youth, traditional culture lovers, international friends who love Chinese culture, travel enthusiasts, others",A. Fully satisfied,B. Partially closed areas,D. Other areas,
Panorama Forbidden City,~2021-02-05 12:57,unknown,Yes,10-Jan,details are accurate,"Work/study gaps, leisure time",student,C. Insufficient coverage area,B. Partially closed areas,B. Garden area,without
Panorama Forbidden City,~2021-02-05 13:15,unknown,Yes,10-Jan,details are accurate,"Work/study gaps, leisure time","students, other",B. Basic Satisfaction,B. Partially closed areas,B. Garden area,can look down
Panorama Forbidden City,~2021-02-05 13:16,unknown,Yes,10-Jan,details are accurate,"Work/study gaps, leisure time",history buff,B. Basic Satisfaction,C. More indoor scenes,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-05 13:42,unknown,Yes,20-Nov,deep interaction,"Work/study gaps, leisure time","Cultural enthusiasts, history lovers, students, traditional culture lovers",B. Basic Satisfaction,C. More indoor scenes,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-05 13:43,unknown,Yes,40 or more,deep interaction,When socializing with like-minded people,National tide fans,D. Too little visible area,A. Unpopular open areas,"C. ""After bed"" area",The lingering ghost of Yu Duomu
Panorama Forbidden City,~2021-02-05 13:48,unknown,Yes,10-Jan,Rich content,"Work/study gaps, leisure time","history buff, student",C. Insufficient coverage area,A. Unpopular open areas,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-05 13:50,unknown,Yes,10-Jan,Update frequency,"Work/study gaps, leisure time",traditional culture lovers,B. Basic Satisfaction,B. Partially closed areas,B. Garden area,
Panorama Forbidden City,~2021-02-05 14:40,unknown,no,10-Jan,Shooting range,"Work/study gaps, leisure time","History lovers, national tide fans, literary youth, traditional culture lovers",D. Too little visible area,C. More indoor scenes,B. Garden area,
Panorama Forbidden City,~2021-02-05 15:26,unknown,Yes,20-Nov,Rich content,"Work/study gaps, leisure time","Culture and blog enthusiasts, national tide fans, traditional culture lovers",B. Basic Satisfaction,B. Partially closed areas,"C. ""After bed"" area",Changchun Palace
Panorama Forbidden City,~2021-02-05 15:38,unknown,Yes,40 or more,Rich content,"Work/study gaps, leisure time",bloggers,B. Basic Satisfaction,C. More indoor scenes,"A. ""Front facing"" area","Add more palace interiors, increasing degrees of freedom"
Panorama Forbidden City,~2021-02-05 15:59,unknown,Yes,40 or more,Update frequency,"Work/study gaps, leisure time","Bloggers, history buffs",D. Too little visible area,B. Partially closed areas,"C. ""After bed"" area",Hope to see the panorama of all the palaces
Panorama Forbidden City,~2021-02-05 16:45,unknown,Yes,40 or more,Rich content,"Work/study gaps, leisure time","Cultural enthusiasts, history lovers, students, travel enthusiasts",A. Fully satisfied,B. Partially closed areas,B. Garden area,cultural relics
Panorama Forbidden City,~2021-02-05 16:53,unknown,Yes,10-Jan,details are accurate,"Work/study gaps, leisure time",Internet technology enthusiast,C. Insufficient coverage area,B. Partially closed areas,B. Garden area,
Panorama Forbidden City,~2021-02-05 17:00,unknown,Yes,10-Jan,details are accurate,"Work/study gaps, leisure time","Bloggers, history buffs, students",B. Basic Satisfaction,B. Partially closed areas,D. Other areas,
Panorama Forbidden City,~2021-02-05 17:44,unknown,Yes,21-40 pieces,details are accurate,"Between work/study, leisure, socializing with like-minded people","Culture and blog enthusiasts, history enthusiasts, collectors enthusiasts, national tide fans, Internet technology enthusiasts, students, traditional culture enthusiasts, travel enthusiasts",D. Too little visible area,B. Partially closed areas,"A. ""Front facing"" area","Four seasons effect, virtual images of ancient characters"
Panorama Forbidden City,~2021-02-05 17:44,unknown,Yes,21-40 pieces,Rich content,"Work/study gaps, leisure time","students, other",A. Fully satisfied,B. Partially closed areas,D. Other areas,without
Panorama Forbidden City,~2021-02-05 18:04,unknown,Yes,10-Jan,Shooting range,"When socializing with like-minded people, late at night before going to bed/early waking up","National tide fans, students",B. Basic Satisfaction,B. Partially closed areas,B. Garden area,
Panorama Forbidden City,~2021-02-05 18:14,unknown,Yes,40 or more,Shooting range,"Work/study gaps, leisure time",student,B. Basic Satisfaction,C. More indoor scenes,"A. ""Front facing"" area",I wish there were more interior shots of the temples (especially the side temples)
Panorama Forbidden City,~2021-02-05 18:14,unknown,Yes,40 or more,deep interaction,"Studying at work, socializing with like-minded people","Culture and blog enthusiasts, collectors, fans of the country, students, others",C. Insufficient coverage area,C. More indoor scenes,"C. ""After bed"" area",Can control the camera to move
Panorama Forbidden City,~2021-02-05 18:30,unknown,Yes,21-40 pieces,Rich content,"Work/study gaps, leisure time",student,B. Basic Satisfaction,B. Partially closed areas,B. Garden area,
Panorama Forbidden City,~2021-02-05 18:59,unknown,Yes,20-Nov,Rich content,Before going to bed late at night / waking up early in the morning,student,A. Fully satisfied,A. Unpopular open areas,D. Other areas,describe more details
Panorama Forbidden City,~2021-02-05 18:59,unknown,Yes,40 or more,beautiful form,When socializing with like-minded people,"Bloggers, history buffs",A. Fully satisfied,A. Unpopular open areas,D. Other areas,
Panorama Forbidden City,~2021-02-05 19:07,unknown,Yes,10-Jan,Rich content,"While studying and working, while eating","students, other",A. Fully satisfied,A. Unpopular open areas,B. Garden area,No
Panorama Forbidden City,~2021-02-05 19:07,unknown,Yes,40 or more,Shooting range,"On the way to and from get off work or going out, between work/study, at leisure, while studying and working, while dining, when socializing with like-minded people, before going to bed at night/waking up early in the morning","History lovers, collectors, fans of the country, Internet technology enthusiasts, students, literary youth, traditional culture lovers, international friends who love Chinese culture, travel lovers",B. Basic Satisfaction,B. Partially closed areas,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-05 19:18,unknown,Yes,40 or more,Shooting range,When socializing with like-minded people,"Cultural and blogging enthusiasts, history lovers, collectors, fans of national trends, Internet technology enthusiasts, students, practitioners in the cultural and blogging industry, literary youth, traditional culture lovers, international friends who love Chinese culture, travel enthusiasts, others",A. Fully satisfied,C. More indoor scenes,D. Other areas,"explain,"
Panorama Forbidden City,~2021-02-05 19:47,unknown,Yes,40 or more,details are accurate,"Work/study gaps, leisure time","Internet technology enthusiasts, students, literary youth, travel enthusiasts",A. Fully satisfied,C. More indoor scenes,B. Garden area,little more detail
Panorama Forbidden City,~2021-02-05 19:49,unknown,Yes,40 or more,Shooting range,"Between work/study, at leisure, while studying at work, when socializing with like-minded people","Internet technology enthusiasts, students, travel enthusiasts",A. Fully satisfied,C. More indoor scenes,B. Garden area,A little more detail.
Panorama Forbidden City,~2021-02-05 20:28,unknown,Yes,10-Jan,Shooting range,commuting or going out,National tide fans,A. Fully satisfied,A. Unpopular open areas,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-05 20:38,unknown,Yes,20-Nov,Shooting range,"Work/study gaps, leisure time",student,B. Basic Satisfaction,B. Partially closed areas,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-05 20:40,unknown,Yes,10-Jan,Rich content,"Between work/study, leisure, socializing with like-minded people","Bloggers, history buffs",A. Fully satisfied,C. More indoor scenes,B. Garden area,no
Panorama Forbidden City,~2021-02-05 20:41,unknown,uncertain,10-Jan,Rich content,"Between work/study, at leisure, before going to bed at night/wake up in the morning","Collectors, Students, Others",D. Too little visible area,C. More indoor scenes,D. Other areas,guess
Panorama Forbidden City,~2021-02-05 20:43,unknown,Yes,20-Nov,Rich content,"Work/study gap, leisure time, study and work",history buff,A. Fully satisfied,C. More indoor scenes,B. Garden area,Facilities in the palace
Panorama Forbidden City,~2021-02-05 20:54,unknown,Yes,10-Jan,Rich content,studying and working,student,A. Fully satisfied,C. More indoor scenes,D. Other areas,
Panorama Forbidden City,~2021-02-05 21:01,unknown,Yes,10-Jan,beautiful form,"Work/study gaps, leisure time","Internet technology enthusiasts, students",B. Basic Satisfaction,B. Partially closed areas,B. Garden area,
Panorama Forbidden City,~2021-02-05 21:03,unknown,Yes,10-Jan,Shooting range,"Work/study gaps, leisure time","history buff, student",B. Basic Satisfaction,C. More indoor scenes,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-05 21:23,unknown,Yes,10-Jan,details are accurate,"Work/study gaps, leisure time","student, youth",B. Basic Satisfaction,C. More indoor scenes,B. Garden area,
Panorama Forbidden City,~2021-02-05 21:27,unknown,Yes,20-Nov,distinct personality,"Studying and working, before going to bed at night / waking up in the morning","History lovers, students, practitioners in the cultural industry, traditional culture lovers",A. Fully satisfied,A. Unpopular open areas,B. Garden area,without
